iteration,loss,particle.0.mass,particle.1.mass,particle.2.mass,particle.3.mass,particle.4.mass,particle.5.mass,particle.6.mass,particle.7.mass,particle.8.mass,particle.9.mass,particle.10.mass,particle.11.mass,particle.12.mass,particle.13.mass,particle.14.mass,particle.15.mass,particle.16.mass,particle.17.mass,particle.18.mass,particle.19.mass,edge.0.k,edge.1.k,edge.2.k,edge.3.k,edge.4.k,edge.5.k,edge.6.k,edge.7.k,edge.8.k,edge.9.k,edge.10.k,edge.11.k,edge.12.k,edge.13.k,edge.14.k,edge.15.k,edge.16.k,edge.17.k,edge.18.k,edge.19.k,edge.20.k,edge.21.k,gt.particle.0.mass,gt.particle.1.mass,gt.particle.2.mass,gt.particle.3.mass,gt.particle.4.mass,gt.particle.5.mass,gt.particle.6.mass,gt.particle.7.mass,gt.particle.8.mass,gt.particle.9.mass,gt.particle.10.mass,gt.particle.11.mass,gt.particle.12.mass,gt.particle.13.mass,gt.particle.14.mass,gt.particle.15.mass,gt.particle.16.mass,gt.particle.17.mass,gt.particle.18.mass,gt.particle.19.mass,gt.edge.0.k,gt.edge.1.k,gt.edge.2.k,gt.edge.3.k,gt.edge.4.k,gt.edge.5.k,gt.edge.6.k,gt.edge.7.k,gt.edge.8.k,gt.edge.9.k,gt.edge.10.k,gt.edge.11.k,gt.edge.12.k,gt.edge.13.k,gt.edge.14.k,gt.edge.15.k,gt.edge.16.k,gt.edge.17.k,gt.edge.18.k,gt.edge.19.k,gt.edge.20.k,gt.edge.21.k
9,4.771754902321845e-06,0.36377203464508057,1000000.0,1000000.0,0.2881403863430023,0.39590057730674744,1.0067808628082275,1000000.0,1.0691441297531128,0.8631114363670349,1.0183205604553223,0.9883667826652527,0.8754016757011414,1000000.0,1000000.0,1.0978853702545166,1.5396318435668945,1.0006282329559326,1.5495703220367432,0.999609112739563,0.814623236656189,53.00961685180664,43.701805114746094,213.2727508544922,180.25071716308594,160.20530700683594,126.26206970214844,137.9683837890625,92.12317657470703,161.0483856201172,1528.2933349609375,360.9060974121094,394.8825378417969,115.13998413085938,77.69071960449219,322.5069274902344,291.97503662109375,331.58282470703125,230.81649780273438,462.788818359375,178.71383666992188,192.12814331054688,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7.227409696497489e-06,0.2821003794670105,1000000.0,1000000.0,0.19061163067817688,0.3134608268737793,0.9700180888175964,1000000.0,1.0963730812072754,0.9054785370826721,1.0410630702972412,0.9834036231040955,0.8338085412979126,1000000.0,1000000.0,1.128440499305725,1.6267454624176025,1.0011094808578491,1.6354413032531738,0.9993579983711243,0.7625923752784729,54.437583923339844,43.90285110473633,214.76068115234375,177.913818359375,160.18150329589844,126.7640609741211,128.57598876953125,103.21471405029297,166.30670166015625,1535.0345458984375,368.3263854980469,394.974365234375,115.0411605834961,77.70027160644531,322.574951171875,291.8466796875,329.1439208984375,230.765869140625,462.76495361328125,178.71353149414062,192.1332244873047,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4.4190414882905316e-06,0.19611907005310059,1000000.0,1000000.0,0.09142223745584488,0.22667381167411804,0.9214721918106079,1000000.0,1.1317386627197266,0.9613320827484131,1.0740574598312378,0.9766079187393188,0.7812153100967407,1000000.0,1000000.0,1.1669895648956299,1.7173917293548584,1.001875400543213,1.7244112491607666,0.998970091342926,0.6993012428283691,56.33847427368164,44.22648620605469,216.85401916503906,174.49075317382812,160.18836975097656,127.4321060180664,117.92904663085938,114.76343536376953,172.60580444335938,1541.0911865234375,376.9040832519531,395.0989685058594,114.89569854736328,77.71452331542969,322.6789245605469,291.6649475097656,326.2771301269531,230.7044677734375,462.7365417480469,178.71310424804688,192.14089965820312,160.06735229492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3.983762780990219e-06,0.10680942982435226,1000000.0,1000000.0,0.07999999821186066,0.1364966332912445,0.8606005907058716,1000000.0,1.1799677610397339,1.0250475406646729,1.1199027299880981,0.9613978862762451,0.7249589562416077,1000000.0,1000000.0,1.2170920372009277,1.8083298206329346,1.0055475234985352,1.8155874013900757,0.9915302991867065,0.6313189268112183,59.650360107421875,45.342498779296875,219.2755889892578,169.1884002685547,160.18226623535156,128.96849060058594,103.33512878417969,124.8060073852539,177.989013671875,1546.3150634765625,386.11468505859375,395.1737365722656,114.44065856933594,77.7522964477539,323.02044677734375,291.1433410644531,321.9512939453125,230.59735107421875,462.6965637207031,178.728759765625,192.168701171875,160.0671844482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8.515531590091996e-06,0.07999999821186066,1000000.0,1000000.0,0.07999999821186066,0.07999999821186066,0.788923442363739,1000000.0,1.2365400791168213,1.0978459119796753,1.1758623123168945,0.9142232537269592,0.6658326983451843,1000000.0,1000000.0,1.273881196975708,1.891587734222412,1.0184897184371948,1.9048486948013306,0.9450441598892212,0.6636297702789307,63.923500061035156,48.16890335083008,220.09933471679688,165.77001953125,160.19137573242188,130.16693115234375,83.28707885742188,133.60316467285156,181.8388214111328,1550.782958984375,393.19049072265625,395.4522399902344,112.96001434326172,77.84626007080078,324.0918884277344,289.7108154296875,314.22845458984375,230.312744140625,462.5972900390625,182.1498260498047,192.3080596923828,160.0562286376953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.044822607189417e-06,0.07999999821186066,1000000.0,1000000.0,0.07999999821186066,0.07999999821186066,0.7960997223854065,1000000.0,1.3049681186676025,1.176355004310608,1.2422351837158203,0.8503233790397644,0.5956069827079773,1000000.0,1000000.0,1.3429276943206787,1.9805841445922852,1.0387319326400757,1.9974404573440552,0.8817235827445984,0.7197510600090027,68.48786926269531,52.58175277709961,219.32212829589844,167.02304077148438,160.21926879882812,126.6703109741211,60.56610870361328,141.34767150878906,184.4324188232422,1554.607421875,398.3573913574219,396.4499206542969,110.90491485595703,77.97908782958984,325.6222839355469,288.0599060058594,304.10986328125,229.8759307861328,462.4453430175781,188.18072509765625,192.55380249023438,160.0355682373047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6.985692380112596e-06,0.10374164581298828,1000000.0,1000000.0,0.07999999821186066,0.07999999821186066,0.815266489982605,1000000.0,1.3809399604797363,1.256126880645752,1.3149651288986206,0.7751489281654358,0.5176622271537781,1000000.0,1000000.0,1.4202309846878052,2.0741214752197266,1.0624308586120605,2.086007833480835,0.8070621490478516,0.7887603044509888,73.46479034423828,58.33823013305664,217.18479919433594,171.99046325683594,160.26785278320312,121.4234848022461,38.19894790649414,148.19461059570312,186.03427124023438,1557.8814697265625,401.93695068359375,398.0127258300781,108.3196792602539,78.13574981689453,327.55780029296875,286.11456298828125,292.35418701171875,229.33187866210938,462.2456970214844,196.40440368652344,192.86195373535156,160.00656127929688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5.741792847402394e-06,0.14070633053779602,1000000.0,1000000.0,0.07999999821186066,0.08138187974691391,0.8048555254936218,1000000.0,1.4609270095825195,1.3326386213302612,1.3912262916564941,0.6915581226348877,0.4322284162044525,1000000.0,1000000.0,1.5010008811950684,2.1702170372009277,1.08665931224823,2.1648905277252197,0.7239370346069336,0.8619318604469299,79.36327362060547,65.26319122314453,213.91502380371094,178.6439666748047,160.3377227783203,117.89557647705078,19.208017349243164,154.2703399658203,186.8623504638672,1560.6822509765625,404.2906494140625,399.83062744140625,105.15911102294922,78.3031005859375,329.89190673828125,283.65496826171875,279.5660095214844,228.71754455566406,462.0004577636719,206.4511260986328,193.19412231445312,159.97015380859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4.784156772075221e-06,0.1787785440683365,1000000.0,1000000.0,0.07999999821186066,0.08394581824541092,0.7686578631401062,1000000.0,1.542669415473938,1.40216064453125,1.4687622785568237,0.6013378500938416,0.3414056599140167,1000000.0,1000000.0,1.5826022624969482,2.2669155597686768,1.1101154088974,2.2326011657714844,0.6341885328292847,0.9308701753616333,86.39909362792969,73.00381469726562,210.0925750732422,184.90487670898438,160.42813110351562,116.81829071044922,5.877721786499023,159.67796325683594,187.09228515625,1563.07421875,405.9455261230469,401.6239318847656,101.49634552001953,78.46958923339844,332.5581970214844,280.7280578613281,266.2336120605469,228.05545043945312,461.7167053222656,218.0210723876953,193.5329132080078,159.92672729492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.4713073142047506e-05,0.20416288077831268,1000000.0,1000000.0,0.07999999821186066,0.07999999821186066,0.7108446955680847,1000000.0,1.6306982040405273,1.4673395156860352,1.5404797792434692,0.5215868949890137,0.2610440254211426,1000000.0,1000000.0,1.6706980466842651,2.3676295280456543,1.129534125328064,2.283259630203247,0.5707694292068481,0.9884034991264343,95.3079605102539,81.83605194091797,206.17019653320312,189.21151733398438,160.56797790527344,118.87674713134766,7.495316982269287,164.71351623535156,186.7545166015625,1565.0806884765625,407.4803466796875,403.34820556640625,96.07525634765625,78.54385375976562,336.1310729980469,276.4626159667969,250.38768005371094,227.10960388183594,460.6878967285156,236.96429443359375,193.99493408203125,159.73580932617188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
