iteration,loss,damping_stiffness,gt.damping_stiffness
-1,,,1.0
0,,5.0,
1,6.831306365029377e-08,4.953902244567871,
2,9.037071890816151e-08,4.293963432312012,
3,2.0441142112304078e-07,3.126845121383667,
4,3.2821603213051276e-07,1.7643487453460693,
5,1.7415429454104014e-07,0.21774578094482422,
6,3.9144140373537084e-07,0.6277926564216614,
7,2.008468413805531e-07,1.527395486831665,
8,4.5418286731546686e-07,1.3047598600387573,
9,2.738441935434821e-07,0.5770524740219116,
10,8.092027883321862e-07,1.0522104501724243,
11,7.323421158389465e-08,1.3624886274337769,
12,8.702245963831956e-07,0.9083287715911865,
13,1.4572418649549945e-07,0.8060509562492371,
14,5.89982505516673e-07,1.3841742277145386,
15,1.8640496364241699e-06,1.0891752243041992,
16,1.7471592173023964e-07,0.622857391834259,
17,3.78169670511852e-06,1.285856008529663,
18,1.329475026068394e-06,1.5650502443313599,
19,4.107756922167027e-06,1.4031641483306885,
20,2.37620884036005e-06,0.9401914477348328,
